,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/1198/coursera-introduction-to-communication-science,communication,effectoriented,science,antiquity,verified,approaches,theories,dominant
https://www.class-central.com/mooc/2721/coursera-effective-problem-solving-and-decision-making,distortions,onthejob,thinking,critical,solving,turbulent,decision,methods
https://www.class-central.com/mooc/2724/coursera-high-impact-business-writing,writing,business,document,interoffice,twentypage,correct,memo,finalizing
https://www.class-central.com/mooc/307/coursera-natural-language-processing,nlp,models,machine,loglinear,language,translation,contextfree,grammars
https://www.class-central.com/mooc/646/coursera-statistics-making-sense-of-data,proportions,tests,intervals,significance,statistical,probability,sample,displays
https://www.class-central.com/mooc/765/coursera-understanding-einstein-the-special-theory-of-relativity,einstein,quotes,relativity,spacetime,lorentz,week,clocks,paradoxes
https://www.class-central.com/mooc/328/coursera-compilers,compilers,programming,languages,compiler,result,language,checking,cool
https://www.class-central.com/mooc/2879/coursera-forests-and-humans-from-the-midwest-to-madagascar,forest,forests,climate,ecosystems,biomes,biodiversity,holds,hear
https://www.class-central.com/mooc/1636/coursera-creative-problem-solving,creativity,creative,divergent,convergent,ideas,continue,exercises,ability
https://www.class-central.com/mooc/664/coursera-diabetes-a-global-challenge,diabetes,obesity,holst,glucose,professor,incretin,jens,juul
https://www.class-central.com/mooc/2748/coursera-digital-marketing-channels-the-landscape,digital,marketing,channels,landscape,traditional,landscapes,marketers,media
https://www.class-central.com/mooc/3474/coursera-command-line-tools-for-genomic-data-science,genomic,sequence,presentations,commands,directories,transcriptomics,unix,hopkins
